bin_id,name,Avg. NLL,Ensemble Diversity (NLL),Ensemble NLL,Ensemble Accuracy,Total Variance,num_params,ensemble_hyperparameters,ens_size,type,binning,seed,dataset,Num. Params
1,inceptionv4--mnasnet1_0--resnext101_64x4d--deepens_alexnet,1.9889134988983528,0.7732427340953592,1.2156707626551506,0.7176,0.1836282999503781,,"{'model_scores': [7, 6, 7, 4], 'model_names': ['inceptionv4', 'mnasnet1_0', 'resnext101_64x4d', 'deepens_alexnet']}",4,het,6,75470,imagenetv2mf,191619264.0
1,FixResNet50--densenet169--resnet50-vtab--deepens_resnet101,1.6496391633782104,0.6298308210297426,1.0198083388074384,0.7339,0.1535990145259013,,"{'model_scores': [7, 6, 6, 6], 'model_names': ['FixResNet50', 'densenet169', 'resnet50-vtab', 'deepens_resnet101']}",4,het,6,75470,imagenetv2mf,109850482.0
1,densenet169--resnext101_64x4d--shufflenet_v2_x0_5--deepens_resnet101,1.9212819632850917,0.8194605739085007,1.101821388163317,0.735,0.1912425672958367,,"{'model_scores': [6, 7, 5, 6], 'model_names': ['densenet169', 'resnext101_64x4d', 'shufflenet_v2_x0_5', 'deepens_resnet101']}",4,het,6,75470,imagenetv2mf,143520728.0
1,densenet169--resnet50-vtab--shufflenet_v2_x0_5--deepens_alexnet,2.2876153773422745,0.8665163984441562,1.421098975240766,0.6749,0.18838726562286,,"{'model_scores': [6, 6, 5, 4], 'model_names': ['densenet169', 'resnet50-vtab', 'shufflenet_v2_x0_5', 'deepens_alexnet']}",4,het,6,75470,imagenetv2mf,102211922.0
1,FixResNet50--densenet169--resnet101--deepens_resnet50,1.5819673331087114,0.6348013856011103,0.9471659455643856,0.748,0.1579212752339235,,"{'model_scores': [7, 6, 6, 6], 'model_names': ['FixResNet50', 'densenet169', 'resnet101', 'deepens_resnet50']}",4,het,6,75470,imagenetv2mf,109812728.0
3,efficientnet-b5-autoaug--efficientnet-b5-randaug--resnext101_64x4d--senet154,1.3497363840837406,0.20856864174497056,1.1411677403443568,0.7389,0.05805193493485217,,"{'model_scores': [7, 7, 7, 7], 'model_names': ['efficientnet-b5-autoaug', 'efficientnet-b5-randaug', 'resnext101_64x4d', 'senet154']}",4,het,8,66719,imagenetv2mf,259323848.0
3,efficientnet-b2--efficientnet-b5-autoaug--pnasnet5large--senet154,1.3788030050677047,0.18680188280224327,1.1920011199931368,0.7406,0.053483158146720736,,"{'model_scores': [7, 7, 7, 7], 'model_names': ['efficientnet-b2', 'efficientnet-b5-autoaug', 'pnasnet5large', 'senet154']}",4,het,8,66719,imagenetv2mf,240646454.0
3,pnasnet5large--resnext101_64x4d--se_resnext101_32x4d--senet154,1.435410964682122,0.23458104313433986,1.2008299215477873,0.7287,0.06396563779426258,,"{'model_scores': [7, 7, 7, 7], 'model_names': ['pnasnet5large', 'resnext101_64x4d', 'se_resnext101_32x4d', 'senet154']}",4,het,8,66719,imagenetv2mf,333557364.0
3,efficientnet-b5-autoaug--pnasnet5large--polynet--resnext101_64x4d,1.4106287531662578,0.2689544925941514,1.1416742594538056,0.7341,0.06924240797029894,,"{'model_scores': [7, 7, 7, 7], 'model_names': ['efficientnet-b5-autoaug', 'pnasnet5large', 'polynet', 'resnext101_64x4d']}",4,het,8,66719,imagenetv2mf,295269348.0
3,FixResNet50_no_adaptation--efficientnet-b2--efficientnet-b5-randaug--se_resnext101_32x4d,1.4504674069711132,0.23173903341168517,1.2187283705175975,0.7254,0.06392931229816992,,"{'model_scores': [6, 7, 7, 7], 'model_names': ['FixResNet50_no_adaptation', 'efficientnet-b2', 'efficientnet-b5-randaug', 'se_resnext101_32x4d']}",4,het,8,66719,imagenetv2mf,114012250.0
